custody_agency,date_of_release,sex,age,race_ethnicity,zip
PDP,1/13/2015 0:00,Male,66,Black,
,,,,,
State,9/15/2015 0:00,Male,70,Black,19141
,,,,,
PDP,10/27/2015 0:00,Male,65,White,19129
,,,,,
PDP,1/20/2015 0:00,Male,64,Black,
,,,,,
PDP,7/7/2015 0:00,Male,68,White,19100
,,,,,
PDP,8/25/2015 0:00,Male,65,Black,
,,,,,
PDP,6/23/2015 0:00,Male,67,Black,
,,,,,
State,9/15/2015 0:00,Male,66,Black,19129
,,,,,
PDP,3/11/2015 0:00,Male,65,Hispanic,19133
,,,,,
PDP,3/9/2015 0:00,Male,68,Black,19132
,,,,,
PDP,10/21/2015 0:00,Male,65,Black,19136
,,,,,
State,11/30/2015 0:00,Male,64,White,19135
,,,,,
PDP,5/27/2015 0:00,Male,74,Black,19131
,,,,,
PDP,9/1/2015 0:00,Male,65,Black,19140
,,,,,
PDP,2/15/2015 0:00,Male,64,Black,19120
,,,,,
PDP,12/23/2015 0:00,Male,65,Black,
,,,,,
PDP,2/12/2015 0:00,Male,63,Black,19144
,,,,,
PDP,12/2/2015 0:00,Male,64,Hispanic,19140
,,,,,
State,5/18/2015 0:00,Male,63,Black,19124
,,,,,
PDP,5/3/2015 0:00,Male,66,Black,19132
,,,,,
State,6/25/2015 0:00,Male,65,Black,19106
,,,,,
PDP,8/12/2015 0:00,Male,68,Black,19141
,,,,,
PDP,4/15/2015 0:00,Male,64,Black,19134
,,,,,
PDP,1/9/2015 0:00,Male,62,White,19146
,,,,,
State,1/1/2015 0:00,Male,62,Black,19120
,,,,,
State,1/26/2015 0:00,Male,61,Black,19129
,,,,,
PDP,2/8/2015 0:00,Male,69,Hispanic,19137
,,,,,
PDP,12/28/2015 0:00,Male,64,Black,19138
,,,,,
PDP,8/6/2015 0:00,Male,65,White,19134
,,,,,
State,7/6/2015 0:00,Male,64,Black,19151
,,,,,
PDP,2/6/2015 0:00,Male,64,Black,19140
,,,,,
State,3/29/2015 0:00,Male,62,Black,19139
,,,,,
